group_number,group_kanji,group_meaning,group_story,onyomi
599,𤴓,mending (正+ 人),"* mending H This primitive differs from the kanji for correct only by the movement added to the last two strokes, the “-ing” of mending if you will. But take a more concrete sense, like mending holes in socks. [5]",
600,定,"determine, fix, establish, decide","Determination, in the sense of settling on a certain course of action, is likened here to mending one’s house. [8]",テイ、ジョウ
601,走,run,"Running, we are told here, mends the soil. Observe in the following frames how this kanji can embrace other elements from below, much the same way as the element for road does; and how, in order to do this, the final stroke needs to be lengthened. [7]",ソウ
602,是,"just so, this, right, justice","In this kanji we are shown someone spending an entire day at mending one stocking, because they want the job done “just so.” Be sure to make a clear image of a finicky old fusspot to make the abstract idea as concrete as possible. [9]",ゼ、 シ
603,疋,"use this for animals in general, we will refer to it as
a zoo","* zoo Ð Rather than use this for animals in general, we will refer to it as a zoo, to avoid confusion with the other animals that will be showing up. Except for the downward hook at the end of the first stroke, this element is indistinguishable from mending. Perhaps by now you have developed a quick eye for such details. If not now, you will before long. [5]",
604,,,,
605,制,"system, law, rule","This kanji show a unique system for leading cows to the slaughterer’s sabre: one ties a belt about their waist and fixes that belt to an overhead cable, pulling the cow up into the air where it hangs suspended, helpless against the fate that awaits it. [8]",セイ
606,巾,towel,"* towel, The basic meaning of this primitive is a bolt of cloth, from which we derive the meaning of a towel. [3]",キン、 フク
607,市,"market, city, town","Dressed in nothing but a bath towel and top hat, one sets off to the marketplace in search of a bargain or two. [5]",シ
608,,"sash, belt, obi, zone, region",The part of the apron where one finds the buckle (represented pictorially by the first 5 strokes) is on the sash. [10],タイ
610,帚,broom,,
611,吊,,,
612,帝,"sovereign, the emperor, god, creator","An uncommon, but not altogether unlikely picture of a reigning sovereign has him standing up in his apron, presumably at the behest of his sovereign (she who is to be obeyed), who needs help with washing the dishes. [9]",テイ
613,厶,"I, myself, katakana mu radical (no. 28)",* elbow M This pictograph of an arm bent at the elbow is obvious. [2],
614,広,"wide, broad, spacious",Cave. . . elbow. [5],コウ
615,台,"pedestal, a stand, counter for machines and vehicles",Elbow . . . mouth. [5],ダイ、タイ
616,去,"gone, past, quit, leave, elapse, eliminate, divorce",Soil . . . elbow. [5],キョ、コ
617,却,"instead, on the contrary, rather, step back, withdraw, retreat",Gone . . . stamp. [7],キャク
618,盍,"come together, congregate, meet",Past . . . dish. [10],
619,,"abandon, throw away, discard, resign, reject, sacrifice",Infant . . . buckle (see frame 415) . . . tree. [13],キ
620,育,"bring up, grow up, raise, rear","Since the key word has to do with raising children to be strong both in mind and body, it is easy to coordinate the primitive elements: infant . . . meat. [8]",イク
621,允,"license, sincerity, permit",Elbow . . . human legs. [4],イン
622,𠫔,wall,* wall h The elbow hanging under a ceiling will become our element for a wall. [3],
625,至,"climax, arrive, proceed, reach, attain, result in","Wall . . . soil. The key word allows for the full variety of connotations: to peak, to arrive at the end, and the like. [6]",
626,屋,"roof, house, shop, dealer, seller","Flag . . . climax. Since this kanji has no relation to the primitive for roof, we cannot use it as a primitive in the next frame. [9]",
627,云,rising cloud,"* rising cloud ° This primitive is meant to depict in graphic fashion a cloud of something or other rising upwards, like vapor or smoke or dust. [4]",ウン
628,北,north,"The cold air from the north is so strong that we see two people sitting on the ground back to back, their arms interlocked so they don’t blow away. (Pay special attention to the drawing of the first 3 strokes.) [5]",ホク
629,南,south,Belt . . . happiness. Note how the belt runs through the middle of happiness. [9],ナン、 ナ
630,東,Both the direction east and the part of the world called “the East”,* Both the direction east and the part of the world called “the East” are primitive meanings of this character.,トウ
631,闌,,Gates . . . east. [20],
632,束,"bundle, sheaf, ream, tie in bundles, govern, manage, control","In the same way that we saw the sun in the tree in the kanji for east, here we see a square container in the shape of a mouth. [7]",ソク
633,疎,"alienate, rough, neglect, shun, sparse, penetrate",Zoo . . . bundle. Note that the element for zoo is flattened out on the left just as leg (frame 1279) had been. This is the only time we will meet this form in this book. [12],ソ、 ショ
634,頼,"trust, request",Bundle . . . head. [16],ライ
635,西,west,"* as a primitive, the meaning of west can be expanded to refer to the Old West of cowboy-movie fame, just as the meaning of the character for east was expanded into the East.

Note, however, that in its primitive form the legs are straightened out and reach down to the bottom of the mouth. Hence, we get the shape º. With the exception of one kanji, given in the following frame, this element always appears at the top of its relative primitives.",セイ、 サイ、 ス
636,価,"value, price",Person . . . Old West. [8],
637,要,"need, main point, essence, pivot, key to",Old West . . . woman. [9],ヨウ
638,票,"ballot, label, ticket, sign",Old West . . . altar. [11],ヒョウ
639,亜,"Asia, rank next, come after, -ous","In this kanji, the abbreviation for Asia, you should be able to see the character for mouth behind the Roman numeral ii. [7]…",ア
640,酉,whiskey bottle,"* as a primitive, it means whiskey bottle. In its pictograph, you can see the loosely corked lid, the bottle and the contents (about one-third full). You might also hink of the Spanish “porrón,” a decanter shaped like a long-necked bird.",ユウ
641,奠,,,
642,奐,,,
643,乍,saw,* saw ¼ The saw in this primitive is distinguished from the primitive for ax by the extra “teeth” on the blade. [5],
644,彡,shape,"* shape ‰ The three simple strokes of this element actually represent the form or shape of the hair of one’s beard. But we keep the simple sense of a shape, or its verb “to shape,” in order to avoid confusion later when we meet an element for hair. When using this element, be sure to visualize yourself shaping the thing in question, or better still, twisting it out of shape. [3]",
645,彦,"lad, boy (ancient)",Vase . . . cliff . . . shape. [9],ゲン
646,参,"nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in",Elbow . . . St. Bernard dog . . . shape. [8]4,サン、シン
647,參,,,
648,勿,"not, must not, do not, be not","First take the primitive meaning of this character: knot. Think of it as the piglet minus its body (the horizontal stroke), that is, the curly tail that looks like a knot. as an exception, we will use the homonym to remember the abstract key word, not. [4]",
649,忽,"in a moment, instantly, all of a sudden",Knot . . . heart. [8],
650,匆,"rush, hurry",Knot . . . cut. [8],
651,,piggy bank,"* piggy bank , This very helpful primitive element is worth the few moments it takes to learn it. Just remember that each day you put a few pennies into the back of the little piglet on your bureau that you call a piggy bank. [9]",
652,湯,"hot water, bath, hot spring",Water . . . piggy bank. [12],トウ
653,豕,sow,* sow [ Let this primitive represent a fat sow. Easier than pulling it apart into smaller elements is remembering its shape as a highly stylized pictograph. Practice its 7 strokes a few times before going on to examples of its use in the next six frames. [7],
654,家,"house, home, family, professional, expert, performer","This is the full character whose primitive form we learned already. To help a little, this kanji recalls the times when the “domestic” animals were, as the word itself suggests, really kept in the house. Hence: house . . . sow. [10]",カ、ケ
655,蒙,,,
656,而,comb,* comb ¾ The pictograph of a comb is clearly visible in this primitive element. [6],
657,喘,"pant, gasp, breathe hard",,
658,需,"demand, request, need",The sense of demand is best captured by thinking of the economic principle of “supply and demand.” The primitives: rain . . . comb. [14],ジュ
659,半,"half, middle, odd number, semi-, part-","Although the writing order is different, one can remember the appearance of this character by seeing it as a little needle—the kind used for splitting hairs in half. (Again, according to rule, little takes a stroke beneath it in order to be placed over an element that has no horizontal line at the top.) [5]",ハン
661,亥,acorn,"* The top hat represents the external shape of the acorn, and the unusual but easily written complex of strokes beneath it (which you might also see as distortions of an elbow and person) stands for the mysterious secret whereby the acorn contains the oak tree in a nutshell.",
662,門,gate,"* as a primitive, we shall continue to give it the meaning of gates, but recommend the image of swinging doors (like the kind once common at entrances to saloons) to distinguish it from the primitive for door.",モン
663,間,"interval, space","Gates . . . sun/day. This interval applies to time and space alike, but the latter is better for creating an image. [12]",カン、ケン
664,彐,broom,* broom w The pictographic representation here is of the bristles on the head of a broom. [3],
665,尋,"inquire, fathom, look for",Broom . . . craft . . . mouth . . . glue. [12],
666,侵,"encroach, invade, raid, trespass, violate",Person . . . broom . . . crown . . . crotch. Gather the elements on the right into a composite image that can serve you in the next two frames. [9],シン
667,,"wife, spouse",Ten . . . rakes . . . woman. [8],サイ
668,争,"contend, dispute, argue",Bound up . . . rake. [6],ソウ
669,唐,"T'ang, China, foreign","The key word here refers of course to the T’ang Dynasty in China (and not to the name of the drink astronauts take with them into outer space, though this could be useful for the next frame). Its elements: cave . . . rake . . . mouth. [10]",トウ
670,隶,sieve,"* sieve z A rake and the grains of rice at the bottom give us a hint of winnowing, which relates clearly to the meaning of a sieve. [8]",
671,剥,"come off, peel, fade, discolor",Sieve . . . spear. [10],
672,尹,mop,* mop Õ The only thing distinguiinges a mop from a rake is the bent handle that does not cut through the top horizontal stroke. It depicts the swish-swash motion of a mop. [4],
673,君,"mister, you, ruler, male name suffix",The somewhat highbrow British term of address is chosen here to represent the kanji for a form of address used towards one’s juniors. It is composed of: mop . . . mouth. [7],クン
674,丑,"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac",[4],
675,井,"well, well crib, town, community","Recalling that there are no circular strokes, and that the shape of the square and the square within a square (frame 586) have already been used, it should be relatively easy to see how this character can be consider a pictograph of a well. [4]",
676,共,together,"* The primitive retains the meaning of together. Imagine things strung together like fish on a line, beads on a thread, or whatever. The main thing is to avoid putting them in a straight row, which would confound this element with the previous one. As we saw with bushel basket, this primitive can join its legs to the final horizontal stroke and stretch them to form an enclosure.",キョウ
677,異,"uncommon, different, queerness, strangeness, wonderful, curious, unusual",Brains . . . together. [11],イ
678,暴,"outburst, rave, fret, force, violence, cruelty, outrage",Sun . . . strung together . . . rice grains. [15],ボウ、バク
679,升,"measuring box, 1.8 liter","This is the character for the little wooden box that the Japanese use for measuring things, as well as for drinking saké out of. Simply imagine the outside as spiked with a thousand sharp needles, and the quaint little measuring box becomes a drinker’s nightmare! Be very careful when you write this character not to confuse it with the writing of thousand. The reason for the difference gives us a chance to clarify another general principle of writing that supersedes the one we mentioned in frame 4: when a single stroke runs vertically through the middle of a character, it is written last. [4]",ショウ
680,开,"a union of two hands, both of which are used at the same time.

Whenever this element appears at the bottom of its relative primitive, the top line is omitted, whether or not there is a horizontal line to replace it.","* two hands b Let this primitive represent a union of two hands, both of which are used at the same time. Whenever this element appears at the bottom of its relative primitive, the top line is omitted, whether or not there is a horizontal line to replace it. [4]",
681,戒,commandment,Two hands . . . fiesta. [7],カイ
682,刑,"punish, penalty, sentence, punishment",Two hands . . . sabre. [6],ケイ
683,并,puzzle,* puzzle W Think of this element as a picture puzzle in which the pieces interlock. Its elements: horns . . . two hands. [6],
684,手,a single hand all by itself,* Keep to the etymology when using this kanji as a primitive: a single hand all by itself.,シュ、ズ
685,扌,fingers,* fingers − This alternate form of the primitive for hand we shall use to represent finger or fingers. It always appears at the left. [3],
686,毛,"fur, hair, feather, down","This character simply reverses the direction of the final stroke of hand to produce fur. If you reverse your hand and put its palm down, you will have the side on which fur grows. [4]",モウ
687,毟,,,
688,毳,,,
689,乇,lock of hair,"* lock of hair 6 This element is clearly derived from that for fur. By leaving out the second stroke, we get simply a lock of hair. [3]",
690,宅,"home, house, residence, our house, my husband",House . . . lock of hair. [6],
691,耳,ear,"The pictograph for the ear looks much like that for eye, but note how the stroke order gives it a different look. [6]",ジ
692,取,"take, fetch, take up",Ear . . . crotch. [8],シュ
693,最,"utmost, most, extreme",Sun . . . take. [12],サイ、シュ
694,聶,,,
695,心,it appears beneath or to the right of its relative primitive and means the physical organ of the heart.,"* as a primitive, it can take three forms, to which we shall assign three distinct meanings. * In its kanji-form, it appears beneath or to the right of its relative primitive and means the physical organ of the heart.",シン
696,⺖,"busy, occupied, restless",State of mind . . . perish. [6],ボウ、モウ
697,,"pining, yearn for, love dearly, adore",Graveyard . . . valentine. Note carefully the stroke order of the valentine primitive. [14],ボ
698,必,"invariably, certain, inevitable","First note the stroke order of this character, which did not really evolve from the heart, even though we take it that way. If one takes it as a pictograph “dividing” the heart in half, then one has one of those invariably true bits of human anatomy: the fact that each heart is divided into two halves. [5]",ヒツ
699,足,"leg, foot, be sufficient, counter for pairs of footwear",Mouth . . . mending. Note that the last stroke of mouth and the first of mending overlap. [7],ソク
700,路,"path, route, road, distance",Wooden leg . . . each. [13],ロ、 ル
701,骨,"skeleton, bone, remains, frame","This kanji and primitive refer to the part of the body composed of the bones and their joints. The top part of the kanji, terminating in the element for crown, is a pictograph of a bone joint. I leave it to you to put the pieces together, so to speak. [10]",コツ
702,咼,jawbone,* jawbone ‚ The meaning of this primitive is taken from the combination of “the joint” above and the mouth in the cowl below. [9],
703,才,genie,"* + , * The primitive meaning, genie, derives from the roots of the word genius. Use the genie out in the open when the primitive appears to the right of or below its relative primitive; in that case it also keeps its same form. At the left, the form is altered to c, and the meaning becomes a genie in the bottle. 2",サイ
704,,"exist, outskirts, suburbs, located in",Genie in the bottle . . . soil. [6],ザイ
705,,"length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely","The length whose measure this kanji depicts extends from the tip of one hand to the tip of the other with arms at full length. Notice the final stroke, which cuts across the vertical second stroke to distinguish it from large (frame 107). [3]",ジョウ
706,史,"history, chronicle",A mouth . . . tucked under the arm. [5],シ
707,更,grow late,The implication behind the meaning of grow late is that things are changing in the same way that the day turns into night. The elements: ceiling . . . sun . . . tucked under the arm. [7],コウ
708,卩,,,
709,卸,wholesale,"The left primitive is a union of a horse and footprint. To the right, the stamp. [9]",シャ
710,マ,"traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.","Chop-seal . . . utilize . . . road. By combining the first two primitives into a single image, you will be able to use that image in a few instances later, one of which comes immediately. [10]",ツウ、ツ
711,勇,"courage, cheer up, be in high spirits, bravery, heroism",Chop-seal . . . male. [9],ユウ
712,令,"orders, laws, command, decree, good",Meeting . . . chop-seal. [5],レイ
713,𠂎,,,
714,卯,"sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east",Receipt . . . stamp. [6],
715,抑,"repress, well, now, in the first place, push, shove, press, seal, do in spite of",Fingers . . . box . . . stamps. [7],ヨク
716,留,"detain, fasten, halt, stop",Receipt . . . dagger . . . rice field. [10],リュウ、ル
717,𠀉,staples,"* staples ‹ This primitive represents a number of small staples, like the kind commonly used in an office and at school. [4]",
718,段,"grade, steps, stairs","The kanji connoting rank or class shows us a new element on the left: the familiar primitive for staples with an additional stroke cutting through the vertical stroke. It is easiest in these cases to make a primitive related to what we already know. Hence, we call it a staple gun. To the right, missile. [9]",ダン、タン
719,臼,"mortar, bomb",,キュウ、 グ
720,兒,,,
